fixed acidity,volatile acidity
74,7
78,88
78,76
112,28
74,66
79,6
73,65
78,58
67,58
78,61
85,28
79,32
76,39
79,43
85,49
69,4
63,39
76,41
71,71
52,32
78,6
81,38
73,45
88,61
75,49
81,66
46,52
88,66
66,52
66,5
86,38
76,51
102,42
78,59
73,39
88,4
77,69
88,41
67,75
62,45
74,5
63,3
69,55
86,49
77,49
93,39
70,62
79,52
50,102
76,9
83,61
72,49
78,41
62,63
78,56
84,62
101,31
94,4
83,54
73,107
88,55
78,5
80,59
56,5
79,104
52,34
81,67
58,68
69,49
73,33
92,52
75,6
71,43
71,68
68,6
76,95
76,68
78,53
74,6
73,59
78,63
68,64
73,55
68,63
80,42
74,62
69,5
73,38
75,52
89,61
72,73
68,61
67,62
89,31
74,39
79,5
82,5
64,37
76,55
73,58
115,3
69,109
96,32
70,43
78,44
97,53
82,57
70,49
78,34
74,53
77,43
89,59
52,48
80,38
85,37
82,10
72,63
120,38
77,58
73,66
108,32
71,6
111,35
80,57
94,34
77,41
100,31
79,33
80,52
79,37
81,87
79,35
69,54
115,18
103,32
89,4
114,26
77,27
99,59
120,45
75,4
87,52
116,42
104,55
69,36
108,5
106,83
71,63
72,65
75,53
111,18
84,65
76,62
103,41
103,43
79,53
90,46
86,47
74,36
98,66
96,77
93,61
100,49
116,53
103,44
84,56
79,65
89,43
78,43
109,39
119,57
96,56
61,21
115,41
105,42
119,43
82,7
86,45
119,58
94,27
79,24
91,28
115,45
83,26
77,51
78,46
56,85
95,37
120,37
115,59
122,48
114,6
98,44
120,39
90,43
99,4
88,52
106,48
70,58
119,38
68,77
66,84
77,96
105,24
64,67
95,78
91,52
78,55
123,39
104,41
80,67
111,45
53,57
93,48
86,53
119,39
68,56
104,33
70,23
113,62
92,63
116,58
92,43
103,5
88,46
114,36
87,82
96,54
96,68
93,27
104,24
106,28
94,3
106,36
102,67
92,41
87,69
65,39
107,35
78,52
72,34
104,44
102,49
112,67
100,59
107,4
105,51
104,61
98,25
93,4
70,38
99,63
91,22
103,27
100,48
112,5
92,59
95,46
112,66
91,47
75,55
106,31
68,51
94,43
50,104
109,53
90,54
76,29
87,7
98,5
62,36
115,35
102,24
99,5
88,44
88,47
123,5
120,28
73,73
50,42
90,45
66,39
99,49
83,58
88,48
101,65
63,36
88,24
75,64
96,6
115,31
113,37
82,56
100,58
68,69
88,6
87,54
104,28
87,84
96,88
89,29
99,54
87,48
67,42
107,43
94,33
97,55
120,5
72,52
75,42
72,57
94,59
83,49
113,34
82,73
108,4
86,8
83,78
108,26
80,45
85,46
81,78
98,98
77,66
92,92
90,48
90,47
51,47
70,65
118,38
106,102
70,64
75,38
70,78
74,49
99,74
76,46
71,66
89,48
71,31
90,66
81,72
64,57
95,55
70,45
77,56
82,59
90,69
83,76
92,53
111,39
73,51
82,34
72,5
83,65
76,54
78,48
78,91
63,98
88,42
90,58
88,7
91,68
92,67
88,59
71,59
79,72
95,57
79,4
72,10
83,43
71,52
70,57
65,46
99,35
100,56
86,63
74,37
88,64
71,61
77,6
101,27
108,89
87,46
93,37
94,5
86,55
84,52
84,25
76,48
73,49
69,39
91,66
49,42
67,54
71,48
75,27
71,46
59,61
116,47
67,28
66,66
106,5
64,64
74,68
93,43
93,36
82,26
117,28
72,62
69,56
73,35
88,31
84,31
89,75
90,8
68,57
107,9
72,66
101,45
83,31
68,59
72,54
61,56
74,52
93,38
100,46
68,41
84,36
96,41
86,22
94,24
84,67
87,33
74,61
76,4
66,61
88,3
62,46
99,27
101,43
83,3
102,44
83,28
89,12
82,31
102,34
85,21
90,36
85,47
71,56
66,57
85,66
90,4
104,26
88,33
72,41
84,59
70,4
91,5
95,86
73,52
74,58
71,36
77,39
71,34
89,84
64,69
75,43
82,43
68,36
91,29
91,3
89,35
89,28
89,32
75,71
80,58
89,38
80,18
70,5
113,36
70,51
82,32
86,83
79,31
81,82
101,37
76,31
87,41
89,5
64,39
69,44
76,78
93,49
93,5
83,33
82,64
76,42
99,53
116,23
91,4
102,29
82,74
77,61
111,31
80,62
93,33
75,77
99,32
86,37
79,3
72,38
87,42
68,48
85,34
79,19
116,41
100,26
79,34
70,54
92,31
86,52
84,34
80,48
63,57
108,47
83,53
54,42
50,4
70,69
71,39
56,66
79,54
63,47
63,76
100,43
91,6
72,48
80,25
104,52
75,41
82,51
73,4
82,38
69,45
70,22
73,32
82,2
100,41
78,39
100,35
61,58
83,6
96,42
85,18
51,51
85,32
82,33
65,34
76,5
92,36
97,42
76,36
65,61
65,88
82,35
98,39
68,66
67,64
72,25
62,43
77,57
77,26
79,58
86,42
72,36
99,72
62,39
68,65
102,33
79,57
90,39
109,32
92,46
75,58
51,42
76,43
77,18
71,75
81,73
65,67
75,61
83,56
74,55
74,74
71,72
79,66
78,7
75,59
63,102
98,45
104,43
69,41
50,38
73,44
59,46
85,4
98,3
87,63
70,42
70,6
76,74
66,63
72,53
57,6
67,86
91,37
76,79
97,69
65,51
75,63
54,74
91,76
50,74
91,34
67,46
65,52
78,87
84,39
66,58
60,5
75,51
115,42
82,44
61,59
61,32
61,34
73,43
74,64
83,85
73,74
80,77
87,78
72,45
75,57
80,6
80,81
66,64
60,49
80,64
71,62
72,67
79,69
76,3
72,33
80,5
82,24
60,51
81,29
66,96
64,47
99,57
100,32
62,58
73,34
77,64
64,53
78,64
79,18
74,41
61,4
102,54
100,38
70,59
73,67
69,58
68,67
72,37
78,32
117,45
65,9
76,49
84,29
79,2
64,42
69,63
73,48
67,104
73,98
100,69
67,7
76,35
61,6
53,47
82,28
56,62
81,33
68,68
60,64
56,54
71,22
62,65
77,54
64,31
69,74
78,82
62,44
67,76
68,81
71,27
64,36
71,69
69,84
65,53
74,47
66,7
67,48
68,47
79,29
66,44
80,39
66,56
70,55
62,64
62,52
84,37
65,63
112,4
71,67
63,68
70,56
66,88
67,67
67,16
62,51
64,38
73,69
60,58
80,3
62,7
74,35
67,32
75,31
58,61
63,55
63,51
68,62
62,6
59,55
